data_coleta,media_id,marca,angulo,formato,publicado_em,dias,metrica,valor,coletado_em
2026-09-09,17906568036519740,estilovidya,arte:01-ev3-01-qual-ideia-vestir,carousel,2026-09-09,0,comments,0,2026-09-09T21:14:08+00:00
2026-09-09,17906568036519740,estilovidya,arte:01-ev3-01-qual-ideia-vestir,carousel,2026-09-09,0,likes,2,2026-09-09T21:14:08+00:00
2026-09-09,17906568036519740,estilovidya,arte:01-ev3-01-qual-ideia-vestir,carousel,2026-09-09,0,reach,9,2026-09-09T21:14:08+00:00
2026-09-09,17906568036519740,estilovidya,arte:01-ev3-01-qual-ideia-vestir,carousel,2026-09-09,0,saved,0,2026-09-09T21:14:08+00:00
2026-09-09,17906568036519740,estilovidya,arte:01-ev3-01-qual-ideia-vestir,carousel,2026-09-09,0,shares,0,2026-09-09T21:14:08+00:00
2026-09-09,17906568036519740,estilovidya,arte:01-ev3-01-qual-ideia-vestir,carousel,2026-09-09,0,total_interactions,2,2026-09-09T21:14:08+00:00
2026-09-09,17906568036519740,estilovidya,arte:01-ev3-01-qual-ideia-vestir,carousel,2026-09-09,0,views,16,2026-09-09T21:14:08+00:00
2026-09-09,18127208575702425,estilovidya,arte:02-ev3-02-duvida,carousel,2026-09-09,0,comments,0,2026-09-09T21:14:08+00:00
2026-09-09,18127208575702425,estilovidya,arte:02-ev3-02-duvida,carousel,2026-09-09,0,likes,0,2026-09-09T21:14:08+00:00
2026-09-09,18127208575702425,estilovidya,arte:02-ev3-02-duvida,carousel,2026-09-09,0,reach,9,2026-09-09T21:14:08+00:00
2026-09-09,18127208575702425,estilovidya,arte:02-ev3-02-duvida,carousel,2026-09-09,0,saved,0,2026-09-09T21:14:08+00:00
2026-09-09,18127208575702425,estilovidya,arte:02-ev3-02-duvida,carousel,2026-09-09,0,shares,0,2026-09-09T21:14:08+00:00
2026-09-09,18127208575702425,estilovidya,arte:02-ev3-02-duvida,carousel,2026-09-09,0,total_interactions,0,2026-09-09T21:14:08+00:00
2026-09-09,18127208575702425,estilovidya,arte:02-ev3-02-duvida,carousel,2026-09-09,0,views,19,2026-09-09T21:14:08+00:00
2026-09-10,17906568036519740,estilovidya,arte:01-ev3-01-qual-ideia-vestir,carousel,2026-09-09,1,comments,0,2026-09-10T23:17:38+00:00
2026-09-10,17906568036519740,estilovidya,arte:01-ev3-01-qual-ideia-vestir,carousel,2026-09-09,1,likes,2,2026-09-10T23:17:38+00:00
2026-09-10,17906568036519740,estilovidya,arte:01-ev3-01-qual-ideia-vestir,carousel,2026-09-09,1,reach,9,2026-09-10T23:17:38+00:00
2026-09-10,17906568036519740,estilovidya,arte:01-ev3-01-qual-ideia-vestir,carousel,2026-09-09,1,saved,0,2026-09-10T23:17:38+00:00
2026-09-10,17906568036519740,estilovidya,arte:01-ev3-01-qual-ideia-vestir,carousel,2026-09-09,1,shares,0,2026-09-10T23:17:38+00:00
2026-09-10,17906568036519740,estilovidya,arte:01-ev3-01-qual-ideia-vestir,carousel,2026-09-09,1,total_interactions,2,2026-09-10T23:17:38+00:00
2026-09-10,17906568036519740,estilovidya,arte:01-ev3-01-qual-ideia-vestir,carousel,2026-09-09,1,views,17,2026-09-10T23:17:38+00:00
2026-09-10,18127208575702425,estilovidya,arte:02-ev3-02-duvida,carousel,2026-09-09,1,comments,0,2026-09-10T23:17:38+00:00
2026-09-10,18127208575702425,estilovidya,arte:02-ev3-02-duvida,carousel,2026-09-09,1,likes,0,2026-09-10T23:17:38+00:00
2026-09-10,18127208575702425,estilovidya,arte:02-ev3-02-duvida,carousel,2026-09-09,1,reach,11,2026-09-10T23:17:38+00:00
2026-09-10,18127208575702425,estilovidya,arte:02-ev3-02-duvida,carousel,2026-09-09,1,saved,0,2026-09-10T23:17:38+00:00
2026-09-10,18127208575702425,estilovidya,arte:02-ev3-02-duvida,carousel,2026-09-09,1,shares,0,2026-09-10T23:17:38+00:00
2026-09-10,18127208575702425,estilovidya,arte:02-ev3-02-duvida,carousel,2026-09-09,1,total_interactions,0,2026-09-10T23:17:38+00:00
2026-09-10,18127208575702425,estilovidya,arte:02-ev3-02-duvida,carousel,2026-09-09,1,views,23,2026-09-10T23:17:38+00:00
2026-09-10,18166543708462175,estilovidya,arte:03-ev3-04-felicidade-e-o-caminho,carousel,2026-09-10,0,comments,0,2026-09-10T23:17:38+00:00
2026-09-10,18166543708462175,estilovidya,arte:03-ev3-04-felicidade-e-o-caminho,carousel,2026-09-10,0,likes,0,2026-09-10T23:17:38+00:00
2026-09-10,18166543708462175,estilovidya,arte:03-ev3-04-felicidade-e-o-caminho,carousel,2026-09-10,0,reach,3,2026-09-10T23:17:38+00:00
2026-09-10,18166543708462175,estilovidya,arte:03-ev3-04-felicidade-e-o-caminho,carousel,2026-09-10,0,saved,0,2026-09-10T23:17:38+00:00
2026-09-10,18166543708462175,estilovidya,arte:03-ev3-04-felicidade-e-o-caminho,carousel,2026-09-10,0,shares,0,2026-09-10T23:17:38+00:00
2026-09-10,18166543708462175,estilovidya,arte:03-ev3-04-felicidade-e-o-caminho,carousel,2026-09-10,0,total_interactions,0,2026-09-10T23:17:38+00:00
2026-09-10,18166543708462175,estilovidya,arte:03-ev3-04-felicidade-e-o-caminho,carousel,2026-09-10,0,views,6,2026-09-10T23:17:38+00:00
2026-09-11,17903998557561769,estilovidya,arte:04-ev3-06-tres-estampas,carousel,2026-09-11,0,comments,0,2026-09-11T21:15:15+00:00
2026-09-11,17903998557561769,estilovidya,arte:04-ev3-06-tres-estampas,carousel,2026-09-11,0,likes,0,2026-09-11T21:15:15+00:00
2026-09-11,17903998557561769,estilovidya,arte:04-ev3-06-tres-estampas,carousel,2026-09-11,0,reach,2,2026-09-11T21:15:15+00:00
2026-09-11,17903998557561769,estilovidya,arte:04-ev3-06-tres-estampas,carousel,2026-09-11,0,saved,0,2026-09-11T21:15:15+00:00
2026-09-11,17903998557561769,estilovidya,arte:04-ev3-06-tres-estampas,carousel,2026-09-11,0,shares,0,2026-09-11T21:15:15+00:00
2026-09-11,17903998557561769,estilovidya,arte:04-ev3-06-tres-estampas,carousel,2026-09-11,0,total_interactions,0,2026-09-11T21:15:15+00:00
2026-09-11,17903998557561769,estilovidya,arte:04-ev3-06-tres-estampas,carousel,2026-09-11,0,views,4,2026-09-11T21:15:15+00:00
2026-09-11,17906568036519740,estilovidya,arte:01-ev3-01-qual-ideia-vestir,carousel,2026-09-09,2,comments,0,2026-09-11T21:15:15+00:00
2026-09-11,17906568036519740,estilovidya,arte:01-ev3-01-qual-ideia-vestir,carousel,2026-09-09,2,likes,2,2026-09-11T21:15:15+00:00
2026-09-11,17906568036519740,estilovidya,arte:01-ev3-01-qual-ideia-vestir,carousel,2026-09-09,2,reach,9,2026-09-11T21:15:15+00:00
2026-09-11,17906568036519740,estilovidya,arte:01-ev3-01-qual-ideia-vestir,carousel,2026-09-09,2,saved,0,2026-09-11T21:15:15+00:00
2026-09-11,17906568036519740,estilovidya,arte:01-ev3-01-qual-ideia-vestir,carousel,2026-09-09,2,shares,0,2026-09-11T21:15:15+00:00
2026-09-11,17906568036519740,estilovidya,arte:01-ev3-01-qual-ideia-vestir,carousel,2026-09-09,2,total_interactions,2,2026-09-11T21:15:15+00:00
2026-09-11,17906568036519740,estilovidya,arte:01-ev3-01-qual-ideia-vestir,carousel,2026-09-09,2,views,17,2026-09-11T21:15:15+00:00
2026-09-11,17968438002149917,estilovidya,arte:F1-01,reel,2026-09-11,0,comments,0,2026-09-11T21:15:15+00:00
2026-09-11,17968438002149917,estilovidya,arte:F1-01,reel,2026-09-11,0,ig_reels_avg_watch_time,0,2026-09-11T21:15:15+00:00
2026-09-11,17968438002149917,estilovidya,arte:F1-01,reel,2026-09-11,0,likes,0,2026-09-11T21:15:15+00:00
2026-09-11,17968438002149917,estilovidya,arte:F1-01,reel,2026-09-11,0,reach,0,2026-09-11T21:15:15+00:00
2026-09-11,17968438002149917,estilovidya,arte:F1-01,reel,2026-09-11,0,saved,0,2026-09-11T21:15:15+00:00
2026-09-11,17968438002149917,estilovidya,arte:F1-01,reel,2026-09-11,0,shares,0,2026-09-11T21:15:15+00:00
2026-09-11,17968438002149917,estilovidya,arte:F1-01,reel,2026-09-11,0,total_interactions,0,2026-09-11T21:15:15+00:00
2026-09-11,17968438002149917,estilovidya,arte:F1-01,reel,2026-09-11,0,views,1,2026-09-11T21:15:15+00:00
2026-09-11,18127208575702425,estilovidya,arte:02-ev3-02-duvida,carousel,2026-09-09,2,comments,0,2026-09-11T21:15:15+00:00
2026-09-11,18127208575702425,estilovidya,arte:02-ev3-02-duvida,carousel,2026-09-09,2,likes,0,2026-09-11T21:15:15+00:00
2026-09-11,18127208575702425,estilovidya,arte:02-ev3-02-duvida,carousel,2026-09-09,2,reach,12,2026-09-11T21:15:15+00:00
2026-09-11,18127208575702425,estilovidya,arte:02-ev3-02-duvida,carousel,2026-09-09,2,saved,0,2026-09-11T21:15:15+00:00
2026-09-11,18127208575702425,estilovidya,arte:02-ev3-02-duvida,carousel,2026-09-09,2,shares,0,2026-09-11T21:15:15+00:00
2026-09-11,18127208575702425,estilovidya,arte:02-ev3-02-duvida,carousel,2026-09-09,2,total_interactions,0,2026-09-11T21:15:15+00:00
2026-09-11,18127208575702425,estilovidya,arte:02-ev3-02-duvida,carousel,2026-09-09,2,views,25,2026-09-11T21:15:15+00:00
2026-09-11,18166543708462175,estilovidya,arte:03-ev3-04-felicidade-e-o-caminho,carousel,2026-09-10,1,comments,0,2026-09-11T21:15:15+00:00
2026-09-11,18166543708462175,estilovidya,arte:03-ev3-04-felicidade-e-o-caminho,carousel,2026-09-10,1,likes,0,2026-09-11T21:15:15+00:00
2026-09-11,18166543708462175,estilovidya,arte:03-ev3-04-felicidade-e-o-caminho,carousel,2026-09-10,1,reach,3,2026-09-11T21:15:15+00:00
2026-09-11,18166543708462175,estilovidya,arte:03-ev3-04-felicidade-e-o-caminho,carousel,2026-09-10,1,saved,0,2026-09-11T21:15:15+00:00
2026-09-11,18166543708462175,estilovidya,arte:03-ev3-04-felicidade-e-o-caminho,carousel,2026-09-10,1,shares,0,2026-09-11T21:15:15+00:00
2026-09-11,18166543708462175,estilovidya,arte:03-ev3-04-felicidade-e-o-caminho,carousel,2026-09-10,1,total_interactions,0,2026-09-11T21:15:15+00:00
